Timepoint,%_NCIB3610,%_NRS5645,Dilution,Heat_treatment,Count_Tot,Count_NCIB3610,Count_NRS5645
6,100,0,0.001,0,590,590,0
6,100,0,0.001,1,5,5,0
6,100,0,0.001,0,742,742,0
6,100,0,0.001,1,12,12,0
6,100,0,0.001,0,404,404,0
6,100,0,0.001,1,14,14,0
6,95,5,0.01,0,2538,2198,340
6,95,5,0.01,1,220,184,36
6,95,5,0.01,0,2472,2226,246
6,95,5,0.01,1,184,164,20
6,95,5,0.01,0,2828,2640,188
6,95,5,0.01,1,220,216,4
6,85,15,0.01,0,2398,2102,269
6,85,15,0.01,1,156,124,32
6,85,15,0.01,0,2548,2262,286
6,85,15,0.01,1,118,88,30
6,85,15,0.01,0,2612,2412,200
6,85,15,0.01,1,138,114,24
6,75,25,0.001,0,888,547,341
6,75,25,0.001,1,13,6,7
6,75,25,0.001,0,828,528,300
6,75,25,0.001,1,23,12,11
6,75,25,0.001,0,736,588,148
6,75,25,0.001,1,9,6,3
6,50,50,0.001,0,1088,600,488
6,50,50,0.001,1,9,4,5
6,50,50,0.001,0,632,268,364
6,50,50,0.001,1,12,1,11
6,50,50,0.001,0,968,484,484
6,50,50,0.001,1,20,11,9
6,25,75,0.001,0,924,260,664
6,25,75,0.001,1,50,9,41
6,25,75,0.001,0,788,280,508
6,25,75,0.001,1,115,22,93
6,25,75,0.001,0,824,240,584
6,25,75,0.001,1,71,17,54
6,0,100,0.01,0,1360,0,1360
6,0,100,0.01,1,311,0,311
6,0,100,0.01,0,1596,0,1596
6,0,100,0.01,1,287,0,287
6,0,100,0.01,0,1420,0,1420
6,0,100,0.01,1,288,0,288
12,100,0,0.0001,0,238,238,0
12,100,0,0.0001,1,108,108,0
12,100,0,0.0001,0,298,298,0
12,100,0,0.0001,1,129,129,0
12,100,0,0.0001,0,309,309,0
12,100,0,0.0001,1,165,165,0
12,95,5,0.001,0,610,568,42
12,95,5,0.001,1,440,402,38
12,95,5,0.001,0,612,532,80
12,95,5,0.001,1,432,416,16
12,95,5,0.001,0,516,432,84
12,95,5,0.001,1,360,320,40
12,85,15,0.001,0,488,440,48
12,85,15,0.001,1,412,364,48
12,85,15,0.001,0,608,508,100
12,85,15,0.001,1,420,304,116
12,85,15,0.001,0,468,412,66
12,85,15,0.001,1,336,324,12
12,75,25,0.0001,0,196,144,52
12,75,25,0.0001,1,80,59,21
12,75,25,0.0001,0,209,149,60
12,75,25,0.0001,1,103,61,42
12,75,25,0.0001,0,243,200,43
12,75,25,0.0001,1,109,67,42
12,50,50,0.0001,0,350,278,72
12,50,50,0.0001,1,147,99,48
12,50,50,0.0001,0,267,223,44
12,50,50,0.0001,1,109,58,51
12,50,50,0.0001,0,281,203,78
12,50,50,0.0001,1,114,76,38
12,25,75,0.0001,0,170,41,129
12,25,75,0.0001,1,70,13,57
12,25,75,0.0001,0,298,94,205
12,25,75,0.0001,1,121,29,92
12,25,75,0.0001,0,135,26,109
12,25,75,0.0001,1,78,8,70
12,0,100,0.01,0,1808,0,1808
12,0,100,0.01,1,1108,0,1108
12,0,100,0.01,0,1596,0,1596
12,0,100,0.01,1,996,0,996
12,0,100,0.01,0,1703,0,1703
12,0,100,0.01,1,1023,0,1023
24,100,0,0.00001,0,28,28,0
24,100,0,0.00001,1,3,3,0
24,100,0,0.00001,0,23,23,0
24,100,0,0.00001,1,4,4,0
24,100,0,0.00001,0,25,25,0
24,100,0,0.00001,1,6,6,0
24,95,5,0.0001,0,292,232,60
24,95,5,0.0001,1,224,188,36
24,95,5,0.0001,0,464,364,100
24,95,5,0.0001,1,404,364,40
24,95,5,0.0001,0,464,408,58
24,95,5,0.0001,1,360,272,88
24,85,15,0.0001,0,444,340,104
24,85,15,0.0001,1,292,208,84
24,85,15,0.0001,0,368,256,112
24,85,15,0.0001,1,252,180,72
24,85,15,0.0001,0,432,316,116
24,85,15,0.0001,1,180,140,40
24,75,25,0.00001,0,19,16,3
24,75,25,0.00001,1,10,8,2
24,75,25,0.00001,0,20,15,5
24,75,25,0.00001,1,12,8,4
24,75,25,0.00001,0,27,18,9
24,75,25,0.00001,1,13,10,3
24,50,50,0.00001,0,27,11,16
24,50,50,0.00001,1,13,1,12
24,50,50,0.00001,0,19,8,11
24,50,50,0.00001,1,4,1,3
24,50,50,0.00001,0,57,33,24
24,50,50,0.00001,1,22,7,15
24,25,75,0.00001,0,25,7,18
24,25,75,0.00001,1,20,5,15
24,25,75,0.00001,0,27,5,22
24,25,75,0.00001,1,19,4,15
24,25,75,0.00001,0,19,7,12
24,25,75,0.00001,1,17,6,11
24,0,100,0.001,0,474,0,474
24,0,100,0.001,1,382,0,382
24,0,100,0.001,0,585,0,585
24,0,100,0.001,1,503,0,503
24,0,100,0.001,0,449,0,449
24,0,100,0.001,1,426,0,426
48,100,0,0.000001,0,205,205,0
48,100,0,0.000001,1,22,22,0
48,100,0,0.000001,0,243,243,0
48,100,0,0.000001,1,23,23,0
48,100,0,0.000001,0,260,260,0
48,100,0,0.000001,1,24,24,0
48,95,5,0.000001,0,145,131,14
48,95,5,0.000001,1,24,22,2
48,95,5,0.000001,0,151,131,20
48,95,5,0.000001,1,28,26,2
48,95,5,0.000001,0,111,102,9
48,95,5,0.000001,1,21,18,3
48,85,15,0.000001,0,62,45,17
48,85,15,0.000001,1,25,17,8
48,85,15,0.000001,0,78,70,8
48,85,15,0.000001,1,13,12,1
48,85,15,0.000001,0,39,29,10
48,85,15,0.000001,1,17,11,6
48,75,25,0.00001,0,327,158,169
48,75,25,0.00001,1,154,38,116
48,75,25,0.00001,0,322,115,207
48,75,25,0.00001,1,173,44,129
48,75,25,0.00001,0,297,132,165
48,75,25,0.00001,1,163,47,116
48,50,50,0.00001,0,245,61,184
48,50,50,0.00001,1,116,15,101
48,50,50,0.00001,0,249,49,200
48,50,50,0.00001,1,155,23,132
48,50,50,0.00001,0,256,55,201
48,50,50,0.00001,1,185,37,148
48,25,75,0.0001,0,784,60,724
48,25,75,0.0001,1,743,30,713
48,25,75,0.0001,0,708,88,696
48,25,75,0.0001,1,608,12,520
48,25,75,0.0001,0,772,48,724
48,25,75,0.0001,1,433,46,387
48,0,100,0.001,0,360,0,360
48,0,100,0.001,1,136,0,136
48,0,100,0.001,0,400,0,400
48,0,100,0.001,1,199,0,199
48,0,100,0.001,0,372,0,372
48,0,100,0.001,1,223,0,223
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
