Timepoint,Strain,Medium,Concentration,Replicate,Fluo_intensity,Yield
12,NCIB3610,MSgg,1,1,95392,1.54
12,NCIB3610,MSgg,1,2,85035,1.55
48,NCIB3610,MSgg,1,1,105026,0.41
48,NCIB3610,MSgg,1,2,122902,0.5
96,NCIB3610,MSgg,1,1,82766,0.51
96,NCIB3610,MSgg,1,2,130641,0.3
12,NRS5645,MSgg,1,1,5961,1.73
12,NRS5645,MSgg,1,2,6129,1.79
48,NRS5645,MSgg,1,1,7937,0.71
48,NRS5645,MSgg,1,2,7486,0.7
96,NRS5645,MSgg,1,1,10503,0.6
96,NRS5645,MSgg,1,2,5716,0.41
12,NCIB3610,MSgb,1,1,114309,1.15
12,NCIB3610,MSgb,1,2,126979,1.17
48,NCIB3610,MSgb,1,1,248756,1.54
48,NCIB3610,MSgb,1,2,260000,1.3
96,NCIB3610,MSgb,1,1,187016,2.77
96,NCIB3610,MSgb,1,2,229498,3.13
12,NRS5645,MSgb,1,1,3270,1.8
12,NRS5645,MSgb,1,2,3454,1.7
48,NRS5645,MSgb,1,1,6424,1.27
48,NRS5645,MSgb,1,2,6779,1.31
96,NRS5645,MSgb,1,1,47203,1.17
96,NRS5645,MSgb,1,2,92104,1.24
12,NCIB3610,MSbg,1,1,3756,0.13
12,NCIB3610,MSbg,1,2,4350,0.07
48,NCIB3610,MSbg,1,1,149868,0.95
48,NCIB3610,MSbg,1,2,185233,0.82
96,NCIB3610,MSbg,1,1,260000,5.66
96,NCIB3610,MSbg,1,2,246754,4.9
12,NRS5645,MSbg,1,1,2982,0.03
12,NRS5645,MSbg,1,2,3168,0.03
48,NRS5645,MSbg,1,1,4240,0.07
48,NRS5645,MSbg,1,2,5570,0.03
96,NRS5645,MSbg,1,1,28629,0.06
96,NRS5645,MSbg,1,2,23233,0.07
12,NCIB3610,MSbb,1,1,4301,0.07
12,NCIB3610,MSbb,1,2,3419,0.08
48,NCIB3610,MSbb,1,1,73176,0.33
48,NCIB3610,MSbb,1,2,44168,0.25
96,NCIB3610,MSbb,1,1,216596,0.71
96,NCIB3610,MSbb,1,2,163860,0.98
12,NRS5645,MSbb,1,1,2555,0.03
12,NRS5645,MSbb,1,2,2015,0.03
48,NRS5645,MSbb,1,1,2875,0.01
48,NRS5645,MSbb,1,2,3618,0.02
96,NRS5645,MSbb,1,1,12435,0.02
96,NRS5645,MSbb,1,2,11557,0.02
12,NCIB3610,MSgg,1,3,126080,2.28
12,NCIB3610,MSgg,1,4,133790,2.39
48,NCIB3610,MSgg,1,3,102160,1.2
48,NCIB3610,MSgg,1,4,114791,1.27
96,NCIB3610,MSgg,1,3,75154,0.8
96,NCIB3610,MSgg,1,4,59564,0.53
12,NRS5645,MSgg,1,3,8703,2.39
12,NRS5645,MSgg,1,4,8651,2.47
48,NRS5645,MSgg,1,3,3494,0.93
48,NRS5645,MSgg,1,4,3635,0.74
96,NRS5645,MSgg,1,3,2603,0.66
96,NRS5645,MSgg,1,4,2196,0.47
12,NCIB3610,MSgb,1,3,149856,2.18
12,NCIB3610,MSgb,1,4,128466,2.12
48,NCIB3610,MSgb,1,3,260000,2.25
48,NCIB3610,MSgb,1,4,260000,2.14
96,NCIB3610,MSgb,1,3,254792,2.6
96,NCIB3610,MSgb,1,4,260000,3
12,NRS5645,MSgb,1,3,3227,2.26
12,NRS5645,MSgb,1,4,3209,2.3
48,NRS5645,MSgb,1,3,5156,1.74
48,NRS5645,MSgb,1,4,3748,1.63
96,NRS5645,MSgb,1,3,5847,1.23
96,NRS5645,MSgb,1,4,3912,1.15
12,NCIB3610,MSbg,1,3,3490,0.1
12,NCIB3610,MSbg,1,4,1953,0.12
48,NCIB3610,MSbg,1,3,100388,1.52
48,NCIB3610,MSbg,1,4,111685,1.97
96,NCIB3610,MSbg,1,3,195583,2.9
96,NCIB3610,MSbg,1,4,155246,3.7
12,NRS5645,MSbg,1,3,1311,0.5
12,NRS5645,MSbg,1,4,1278,0.05
48,NRS5645,MSbg,1,3,1208,0.04
48,NRS5645,MSbg,1,4,1158,0.05
96,NRS5645,MSbg,1,3,7629,0.06
96,NRS5645,MSbg,1,4,6697,0.02
12,NCIB3610,MSbb,1,3,2252,0.12
12,NCIB3610,MSbb,1,4,2122,0.1
48,NCIB3610,MSbb,1,3,69445,0.88
48,NCIB3610,MSbb,1,4,71276,0.9
96,NCIB3610,MSbb,1,3,189083,1.12
96,NCIB3610,MSbb,1,4,137271,1.36
12,NRS5645,MSbb,1,3,889,0.05
12,NRS5645,MSbb,1,4,1298,0.06
48,NRS5645,MSbb,1,3,1322,0.05
48,NRS5645,MSbb,1,4,1348,0.05
96,NRS5645,MSbb,1,3,7063,0.04
96,NRS5645,MSbb,1,4,4390,0.05
12,NCIB3610,MSgg,1,5,54286,1.93
12,NCIB3610,MSgg,1,6,56563,1.74
48,NCIB3610,MSgg,1,5,51671,0.72
48,NCIB3610,MSgg,1,6,62704,0.74
96,NCIB3610,MSgg,1,5,71057,0.68
96,NCIB3610,MSgg,1,6,47711,0.57
12,NRS5645,MSgg,1,5,4660,1.91
12,NRS5645,MSgg,1,6,4062,2.09
48,NRS5645,MSgg,1,5,2839,0.78
48,NRS5645,MSgg,1,6,2747,0.8
96,NRS5645,MSgg,1,5,2890,0.71
96,NRS5645,MSgg,1,6,2871,0.57
12,NCIB3610,MSgb,1,5,122643,2.47
12,NCIB3610,MSgb,1,6,124952,2.32
48,NCIB3610,MSgb,1,5,136538,2.18
48,NCIB3610,MSgb,1,6,168023,1.98
96,NCIB3610,MSgb,1,5,216519,3.1
96,NCIB3610,MSgb,1,6,261138,3.25
12,NRS5645,MSgb,1,5,2910,2.47
12,NRS5645,MSgb,1,6,4344,2.4
48,NRS5645,MSgb,1,5,2437,2.25
48,NRS5645,MSgb,1,6,1780,1.93
96,NRS5645,MSgb,1,5,2393,1.18
96,NRS5645,MSgb,1,6,2081,1.05
12,NCIB3610,MSbg,1,5,3328,0.08
12,NCIB3610,MSbg,1,6,2613,0.12
48,NCIB3610,MSbg,1,5,106483,2.27
48,NCIB3610,MSbg,1,6,105835,2.33
96,NCIB3610,MSbg,1,5,234863,3.59
96,NCIB3610,MSbg,1,6,233451,3.69
12,NRS5645,MSbg,1,5,2059,0.03
12,NRS5645,MSbg,1,6,2614,0.2
48,NRS5645,MSbg,1,5,1932,0.04
48,NRS5645,MSbg,1,6,1726,0.03
96,NRS5645,MSbg,1,5,4517,0.03
96,NRS5645,MSbg,1,6,4363,0.03
12,NCIB3610,MSbb,1,5,2348,0.08
12,NCIB3610,MSbb,1,6,2046,0.08
48,NCIB3610,MSbb,1,5,68734,0.89
48,NCIB3610,MSbb,1,6,52533,0.93
96,NCIB3610,MSbb,1,5,100801,1.23
96,NCIB3610,MSbb,1,6,147339,1.02
12,NRS5645,MSbb,1,5,3505,0.03
12,NRS5645,MSbb,1,6,2589,0.01
48,NRS5645,MSbb,1,5,1835,0.05
48,NRS5645,MSbb,1,6,2210,0.04
96,NRS5645,MSbb,1,5,5383,0.02
96,NRS5645,MSbb,1,6,3777,0.03
